Indicator code,Vulnerability pillar,Indicator,Description,Imputation,Direction,Lower bound,Upper bound,Source,Link,Details for download,Reference
eco_remit,Economic,Personal remittances received (% GDP),Personal remittances comprise personal transfers and compensation of employees. Data are the sum of two items defined in the sixth edition of the IMF's Balance of Payments Manual: personal transfers and compensation of employees.,No,ascending,0,15,World Bank,https://data.worldbank.org/indicator/BX.TRF.PWKR.DT.GD.ZS,World Bank API indicator code: BX.TRF.PWKR.DT.GD.ZS,"World Bank (2022), Personal remittances received (% GDP), World Development Indicators, World Bank, Washington, D.C., available at: https://data.worldbank.org/indicator/BX.TRF.PWKR.DT.GD.ZS"
eco_oda,Economic,Official Development Assistance received (% GNI),"Net official development assistance (ODA) consists of disbursements of loans made on concessional terms (net of repayments of principal) and grants by official agencies of the members of the Development Assistance Committee (DAC), by multilateral institutions, and by non-DAC countries to promote economic development and welfare in countries and territories in the DAC list of ODA recipients. ",No,ascending,0,15,World Bank,https://data.worldbank.org/indicator/DT.ODA.ODAT.GN.ZS,World Bank API indicator code: DT.ODA.ODAT.GN.ZS,"World Bank (2021), Net ODA received (% GNI), World Development Indicators, World Bank, Washington, D.C., available at: https://data.worldbank.org/indicator/DT.ODA.ODAT.GN.ZS"
eco_tradeop,Economic,Trade openness (% GDP),"The indicator of trade openness is calculated by summing the exports and the imports of goods and services of the country (expressed in current USD), divided by the GDP, and multiplied by 100.","For countries with missing values, we impute the regional average value (i.e. the average of the remaining countries in the sample that are in the same region). ",ascending,26.69,130,World Bank,https://data.worldbank.org/indicator,World Bank API indicator code: NE.EXP.GNFS.CD and NE.IMP.GNFS.CD,"World Bank (2022), Exports of goods and services (current $US) and Imports of goods and services (current $US), World Development Indicators, World Bank, Washington, D.C., available at: https://data.worldbank.org/indicator/NE.EXP.GNFS.CD and https://data.worldbank.org/indicator/NE.IMP.GNFS.CD"
eco_foodim,Economic,Food imports (% merchandise imports),"Food comprises the commodities in SITC sections 0 (food and live animals), 1 (beverages and tobacco), and 4 (animal and vegetable oils and fats) and SITC division 22 (oil seeds, oil nuts, and oil kernels).","For countries with missing values, we impute the regional average value (i.e. the average of the remaining countries in the sample that are in the same region). ",ascending,5.77,25,World Bank,https://data.worldbank.org/indicator/TM.VAL.FOOD.ZS.UN,World Bank API indicator code: TM.VAL.FOOD.ZS.UN,"World Bank (2022), Food imports (% of merchandise imports), World Development Indicators, World Bank, Washington, D.C., available at: https://data.worldbank.org/indicator/TM.VAL.FOOD.ZS.UN"
eco_fuelim,Economic,Fuel imports (% merchandise imports),"Fuels comprise the commodities in SITC section 3 (mineral fuels, lubricants and related materials).","For countries with missing values, we impute the regional average value (i.e. the average of the remaining countries in the sample that are in the same region). ",ascending,1.2,20,World Bank,https://data.worldbank.org/indicator/TM.VAL.FUEL.ZS.UN,World Bank API indicator code: TM.VAL.FUEL.ZS.UN,"World Bank (2022), Fuel imports (% of merchandise imports), World Development Indicators, World Bank, Washington, D.C., available at: https://data.worldbank.org/indicator/TM.VAL.FUEL.ZS.UN"
eco_exportcon,Economic,Product concentration index for exports (low 0-1 high),The product concentration index shows to which degree exports of individual economies are concentrated on a few products rather than being distributed in a more homogeneous manner among several products. ,No,ascending,0.07,0.6,UNCTAD,https://unctadstat.unctad.org/wds/ReportFolders/reportFolders.aspx,"Select ""International merchandise trade"", then ""Trade indicators"", then the indicator ""Merchandise: Product concentration and diversification indices of exports and imports, annual"", and select ""Flow: Exports"".","UNCTADstat (2022), Merchandise: Product concentration and diversification indices of exports and imports (annual), UNCTADStat Merchandise Trade Matrix, UNCTAD, Geneva, available at: https://unctadstat.unctad.org/wds/ReportFolders/reportFolders.aspx"
eco_tourism,Economic,Tourism receipts (% GDP),"Tourism receipts are expressed as a share of GDP (original data are in current USD). International tourism receipts are expenditures by international inbound visitors, including payments to national carriers for international transport. These receipts include any other prepayment made for goods or services received in the destination country.","For countries with missing values, we impute the regional average value (i.e. the average of the remaining countries in the sample that are in the same region). ",ascending,0.1,15,World Tourism Organization,https://data.worldbank.org/indicator/ST.INT.RCPT.CD,World Bank API indicator code: ST.INT.RCPT.CD,"World Tourism Organization (2019), International tourism receipts (current US$), Yearbook of Tourism Statistics, Compendium of Tourism Statistics and data files, available at: https://data.worldbank.org/indicator/ST.INT.RCPT.CD"
dev_pop,Structural development,Population (total),"Total population is based on the de facto definition of population, which counts all residents regardless of legal status or citizenship.",No,descending,19.23,11,World Bank,https://data.worldbank.org/indicator/SP.POP.TOTL,World Bank API indicator code: SP.POP.TOTL,"World Bank (2022), Population total, based on United Nations Division, Census reports, Eurostat, United Nations Statistical Division, U.S. Census Bureau and Secretariat of the Pacific Community, available at:  https://data.worldbank.org/indicator/SP.POP.TOTL"
dev_connect,Structural development,Liner Shipping Connectivity Index,"Countries’ access to world markets depends largely on their transport connectivity. The LSCI index indicates a country's integration level into global liner shipping networks. The LSCI is an index set at 100 for the maximum value of country connectivity in the first quarter (Q1) of 2006, which was China. All other indices are in relation to this value. ",No,descending,97.27,5,UNCTAD,https://unctadstat.unctad.org/wds/ReportFolders/reportFolders.aspx,"Select the category ""Maritime transport"", then the indicator ""Liner shipping connectivity index"".  ","UNCTADstat (2023), Liner shipping connectivity index (quarterly), Division on Technology and Logistics, based on MDS Transmodal, UNCTAD, Geneva, available at: https://unctadstat.unctad.org/wds/ReportFolders/reportFolders.aspx"
dev_ciffob,Structural development,Ratio of Cost Insurance Freight (CIF) over Free on Board (FOB),"The ratio of the cost insurance freight (in USD) over the freight on board (in USD) is a proxy to measure transportation costs. The cost, insurance and freight (CIF) price is the price of a good delivered at the frontier of the importing country before the payment of any import duties or other taxes on imports or trade and transport margins within the country. The Free on board (FOB) value of exports and imports of goods is the value of the goods at the exporter's customs frontier.",No,ascending,45.45,1000,IMF,https://data.imf.org/?sk=9D6028D4-F14A-464C-A2F2-59B2CD424B85&sId=1390030341854,"Select Indicators ""Goods, Value of Imports, Cost, Insurance, Freight (CIF, US Dollars)"" and ""Goods, Value of Exports, Free on Board (FOB), US Dollars""","IMF (2023), ""Goods, Value of Imports, Cost, Insurance, Freight (CIF, US Dollars)"" and ""Goods, Value of Exports, Free on Board (FOB), US Dollars"", IMF Direction of Trade Statistics, Washington D.C., available at: https://data.imf.org/?sk=9D6028D4-F14A-464C-A2F2-59B2CD424B85&sId=1390030341854"
